candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],sigma_x,sigma_y,del_sigma_x,del_sigma_y,p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
545,36290.3108372151,38771.158140198946,26.558494399205586,22.518063584927738,282.98604430199725,239.89550972841127,32.07673307772926,27.466038998371726,2,103806.84497768179,704.6967105214112,173,18,16,568.1080000000001,103366
546,35995.22684209036,38446.247682172194,9.507772426767234,18.09726129250281,81.37938302130948,153.38505209613663,11.503588312796085,20.99427941013718,2,140468.23753846154,130.9677337773972,64,6,9,662.879,140027
547,36453.79411543571,39286.04836099302,6.260198184978098,6.398060383992405,73.22385460237403,75.85490436358783,5.841570492154683,5.885304431005105,2,115119.67153127816,119.39797936873495,107,9,19,441.6800000000149,114679
548,36254.202230803625,37773.65654106787,11.062374979189967,7.702579849343614,118.92212813386845,78.96512176642089,10.59765229599959,7.907425130704878,2,141037.15704999998,82.27466505460404,49,11,8,355.423,140596
549,36502.05803385136,38040.560101513445,13.67764066154422,15.958113205904116,83.6463641435318,97.59260553059008,12.607275323433857,14.728654491431048,2,130261.59262691006,12693.36426137124,106,13,12,776.527,129821
550,36568.97580106079,38684.31514406751,20.74822978554497,17.58926008932831,198.85415025127548,168.77745224278704,23.744116992154268,20.20369810151889,2,141285.50725973124,23.778883787095342,108,14,12,557.726,140845
551,36348.718855887586,37841.23435068181,17.10762597540467,26.8606725190365,104.50177095364205,142.4236745974601,26.49461665156956,40.166198457633584,2,134025.80403846156,78.62749146277874,52,6,7,452.211,133585
553,36290.18737235163,39041.14374877183,10.426873699878572,9.530019675645708,105.39491732297058,87.84316691770348,10.91762295489599,10.248620886887526,1,112702.95467118052,3.742352007871304,46,11,5,303.742,112262
554,36530.37657595154,39281.56164833627,8.764884745260211,19.627881554632406,53.574920195088396,120.12016657175863,9.85960872421483,18.767672073087134,2,131123.63766666665,124.6630871815284,54,8,9,587.5150000000149,130683
555,36517.28068987146,39342.86758340931,29.162696199504627,46.682988787844195,32.11683308838451,176.94957952183108,156.316899739086,75.59574741243625,2,106964.94469064705,295.25925809696986,37,6,8,268.454,106524
556,36569.504830825776,38197.516641854665,12.439524317583263,19.549066620991532,71.01157874786969,111.20726902453842,11.88807858026083,18.390617719322886,2,142435.32264285715,104.0219625265347,45,10,10,296.99,141994
557,36572.766654269755,38213.860989112814,8.812533798094389,20.96658675389085,44.409888393250455,113.9389828527271,6.505731342907542,21.44956018412792,2,102700.3023392965,30.57257890036428,74,7,8,425.516,102259
